Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt11315808,1,2024-10-06,"Joker: Folie à Deux","Joker: Folie à Deux",https://www.imdb.com/title/tt11315808,Film,5.2,138,2024,"Musical, Thriller, Drama",179611,"2024-10-03","Todd Phillips"
tt11147852,10,2024-10-05,"Dorohedoro","Dorohedoro",https://www.imdb.com/title/tt11147852,Fernsehserie,8.0,25,2020,"Animation, Action, Komödie, Fantasy, Horror, Science-Fiction",14596,"2020-05-28",
tt9243946,8,2024-09-28,"El Camino: Ein Breaking Bad Film","El Camino",https://www.imdb.com/title/tt9243946,Film,7.3,122,2019,"Drama, Krimi, Thriller",338294,"2019-10-11","Vince Gilligan"
tt2442560,9,2024-09-14,"Peaky Blinders - Gangs of Birmingham","Peaky Blinders",https://www.imdb.com/title/tt2442560,Fernsehserie,8.7,60,2013,"Drama, Krimi",758957,"2014-06-02",
tt7286456,8,2024-09-07,"Joker","Joker",https://www.imdb.com/title/tt7286456,Film,8.3,122,2019,"Krimi, Drama, Thriller",1676764,"2019-10-10","Todd Phillips"
tt4154664,4,2024-08-22,"Captain Marvel","Captain Marvel",https://www.imdb.com/title/tt4154664,Film,6.7,123,2019,"Action, Abenteuer, Science-Fiction",653947,"2019-03-07","Anna Boden,Ryan Fleck"
tt9114286,3,2024-08-22,"Black Panther: Wakanda Forever","Black Panther: Wakanda Forever",https://www.imdb.com/title/tt9114286,Film,6.6,161,2022,"Action, Abenteuer, Science-Fiction, Drama",365713,"2022-11-09","Ryan Coogler"
tt5095030,7,2024-08-22,"Ant-Man and the Wasp","Ant-Man and the Wasp",https://www.imdb.com/title/tt5095030,Film,7.0,118,2018,"Action, Abenteuer, Science-Fiction, Komödie",490851,"2018-07-26","Peyton Reed"
tt3896198,9,2024-08-22,"Guardians of the Galaxy Vol. 2","Guardians of the Galaxy Vol. 2",https://www.imdb.com/title/tt3896198,Film,7.6,136,2017,"Action, Science-Fiction, Abenteuer, Komödie, Fantasy",822505,"2017-04-27","James Gunn"
tt9032400,3,2024-08-22,"Eternals","Eternals",https://www.imdb.com/title/tt9032400,Film,6.2,156,2021,"Action, Fantasy, Science-Fiction, Abenteuer",423685,"2021-11-03","Chloé Zhao"
tt1898069,3,2024-08-19,"American Gods","American Gods",https://www.imdb.com/title/tt1898069,Fernsehserie,7.6,60,2017,"Fantasy, Mystery, Drama",97886,"2017-05-01",
tt8633062,8,2024-08-19,"The Wilds","The Wilds",https://www.imdb.com/title/tt8633062,Fernsehserie,7.3,60,2020,"Drama, Abenteuer, Mystery",27131,"2020-12-11",
tt3794354,7,2024-08-19,"Sonic The Hedgehog","Sonic the Hedgehog",https://www.imdb.com/title/tt3794354,Film,6.5,99,2020,"Action, Abenteuer, Science-Fiction, Komödie, Familienfilm, Fantasy",190353,"2020-02-13","Jeff Fowler"
tt1595680,7,2024-08-19,"Being Human","Being Human",https://www.imdb.com/title/tt1595680,Fernsehserie,7.6,44,2011,"Horror, Fantasy, Drama",27859,"2012-08-16",
tt0248408,8,2024-08-19,"Der Schuh des Manitu","Der Schuh des Manitu",https://www.imdb.com/title/tt0248408,Film,6.7,87,2001,"Komödie, Western",22800,"2001-07-19","Michael Herbig"
tt0221733,9,2024-08-19,"Bullyparade","Bullyparade",https://www.imdb.com/title/tt0221733,Fernsehserie,7.2,27,1997,"Komödie",1543,"1997-03-01",
